[2025-12-31 09:14:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-30
正在获取论文...
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | Interactive Web-Based Pandemic Spread Simulator with Agent Mobility and Contact Modeling Using Three.js
[IEEE] 2025-12-30 | Design and Research on LeNet5 Convolutional Neural Network Accelerator Based on HLS
[IEEE] 2025-12-30 | Power Quality Disturbance Recognition Based on Multi-Modal Fusion of 2DCNN-GRU-AT
[IEEE] 2025-12-30 | A Machine Learning-Enhanced Satellite Snowfall Rate Product and Its Application in Nowcasting
[IEEE] 2025-12-30 | Interpretable Leaf Disease Detection in Home Gardens with an Efficient Deep Learning Approach
[IEEE] 2025-12-30 | Research on the Deployment of Smart Home Data Collection Modules Based on DeepSeek Nvidia Jetson Nano
[IEEE] 2025-12-30 | Impact of Hydrogen Electrolysers to Grid Stability
[IEEE] 2025-12-30 | Implementing a Network Firewall for Constrained IoT Environments
[IEEE] 2025-12-30 | AlumniSphere: AI Driven Web Platform for Dynamic Alumni Relations
[IEEE] 2025-12-30 | Combining Large Language Model and Supportive Models for Legal Question Answering
[IEEE] 2025-12-30 | Implantable Reconfigurable FSS for Wireless Protection of Implantable Cardiac Devices in the ISM Band
[IEEE] 2025-12-30 | Robust Attendance Management System Using Face Recognition and Location-Based Verification
[IEEE] 2025-12-30 | Integrated Electric Drive and Wireless Charging Architecture for Electric Vehicles
[IEEE] 2025-12-30 | EcoDriving based approach to trip speed profile optimization for optimal power consumption of a frugal battery electric vehicle
[IEEE] 2025-12-30 | Risk-Aware Contracting Strategies for Electrolytic Hydrogen Projects Facing Grid Congestion
[IEEE] 2025-12-30 | Impact of Neighborhood-Energy-Sharing-Systems on Distribution Grids
[IEEE] 2025-12-30 | AI - Driven Design Pattern Recommendation System for Enhanced Software Architecture
[IEEE] 2025-12-30 | R
                    <sup>2</sup>
                    Hash: A Read-Optimized and Resize-Friendly Hashing Index for Persistent Memory
[IEEE] 2025-12-30 | Outdoor Design Image Generation Based on Diffusion
[IEEE] 2025-12-30 | Mpox Risk Forecasting: Integrating Neural Networks and Public Sentiment Analysis
[IEEE] 2025-12-30 | ViT-Based Semantic Feature Extraction and Cluster-Based Dimensionality Reduction for Medical Images
[IEEE] 2025-12-30 | Estimation of PV Generation using Empirical University Campus Data
[IEEE] 2025-12-30 | Design and Analysis of Perforated Ground Plane for Mode Conversion Mitigation in High-Speed Differential Channel of Die-To-Die Interface
[IEEE] 2025-12-30 | Algorithm for Constructing Educational Dynamic Knowledge Graph and Predicting Intervention Nodes Based on LLM-GNN Fusion
[IEEE] 2025-12-30 | An Agent-Based Assessment of Household Flexibility for Distribution Grid Stability
[IEEE] 2025-12-30 | Symbolic Infrastructure: A Framework for Transhuman Co-Creation and Knowledge Mediation
[IEEE] 2025-12-30 | Machine Learning for Genetic Disease Prediction: A Systematic Review
[IEEE] 2025-12-30 | A Multi-Model AI System for Visual Disorder Diagnosis: Amblyopia as a Case Study
[IEEE] 2025-12-30 | Volcanic Ash Size and Mass Estimated by Satellite Passive Radiometers: A Comparison Between Two Radiative Transfer Models
[IEEE] 2025-12-30 | A Lightweight Visual Deception Detection Method Using Dynamic Images and a Customized SmallCNN–BiLSTM Architecture
[IEEE] 2025-12-30 | A Lightweight Multi-Scale Convolutional Neural Network-Based Method for ECG Quality Assessment
[IEEE] 2025-12-30 | Accelerating Violence Detection: A Comparative Study of Frame Difference and Traditional Methods on UCF Crime Dataset
[IEEE] 2025-12-30 | Techno-Economic and Safety Assessment of Plug-and-Play Photovoltaic Systems in Belgium
[IEEE] 2025-12-30 | Integrated Coaxial Resonator for Reconfigurable Passive Intermodulation Testing
[IEEE] 2025-12-30 | Predictive Quality of Service and Proactive Channel Switching for Time-Critical Wi-Fi Systems
[IEEE] 2025-12-30 | Scheduling Concepts for DC Interconnectors in HVAC Distribution Grids
[IEEE] 2025-12-30 | Multi-Objective Capacity Planning for Large-Scale Renewable Energy Bases with Dynamic Source-Load Matching
[IEEE] 2025-12-30 | A Two-Stage LSTM-LightGBM Framework for Time-Series Traffic State Prediction
[IEEE] 2025-12-30 | Inductance Parameter Online Identification of PMASRM Based on Current Harmonics Extraction with Ultra-local Model
[IEEE] 2025-12-30 | Graphene Oxide Glucose Sensor for Scalable Microfluidic Lab on Chip Integration
[IEEE] 2025-12-30 | Towards Trustworthy Healthcare AI: GAN-Augmented Explainable Models with Blockchain-based Data Integrity
[IEEE] 2025-12-30 | Low-Complexity Adaptive MIMO Detection Framework for Next-Generation Wireless Systems
[IEEE] 2025-12-30 | A Heat Pump Optimization-Based Scheduling to Minimize Energy Cost and Ensure Thermal Comfort
[IEEE] 2025-12-30 | Adaptive Multi-Node Speech Stream Synchronization Algorithm for Distributed Japanese Simultaneous Interpretation
[IEEE] 2025-12-30 | Brain-Computer Interface of Motor Imagery EEG Signal Using Hybrid GNN-Mamba Networks
[IEEE] 2025-12-30 | Uncertain Mode Surfaces in 3D Symmetric Second-Order Tensor Field Ensembles
[IEEE] 2025-12-30 | Forecast-Based Heuristic Algorithm for Voltage Magnitude Regulation in Microgrids
[IEEE] 2025-12-30 | Preliminary Results on a Hexagonal Lattice Meta-Lens for SatCom on the Move Applications
[IEEE] 2025-12-30 | The Hidden Variables in the Future of Quantum Computing in 6G
[IEEE] 2025-12-30 | Research on Data Feature Processing Model Based on Hierarchical Analysis and STFT
[IEEE] 2025-12-30 | Enhancing Lung Cancer Screening by Analysing Clinically Symptoms Using Machine Learning
[IEEE] 2025-12-30 | QCM Sensors Engineered from Cellulose Nanocrystals/Agar Composites for Enhanced Humidity Sensing
[ACM] 2025-12-30 | DP-Morph: Improving the Privacy-Utility-Performance Trade-off for Differentially Private OCT Segmentation
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | Day-Ahead PV Power Probability Density Forecasting With GAN-QRCNLSTM Based on High-Resolution Data Reconstruction
[IEEE] 2025-12-30 | Primary-Ambient Extraction Using Ambient Phase Estimation With Correlation Constraints
[IEEE] 2025-12-30 | CP-Free ODDM over General Doubly-Selective Fading Channels
[IEEE] 2025-12-30 | A Review of Next-Generation Sensor Technologies for Human-Machine Interaction
[IEEE] 2025-12-30 | Empowering Intelligent Low-Altitude Economy With Large AI Model Deployment
[IEEE] 2025-12-30 | Optimization of a Hybrid Graphene–Copper Terahertz Gas Sensor Using Machine Learning
[IEEE] 2025-12-30 | PASS-based Multi-User Communications: Capacity Characterization and Configuration Strategy
[IEEE] 2025-12-30 | Dual-IRS Aided Near-/Hybrid-Field SWIPT: Passive Beamforming and Independent Antenna Power Splitting Design
[IEEE] 2025-12-30 | 2025 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT Europe)
[IEEE] 2025-12-30 | Front Cover
[IEEE] 2025-12-30 | NeeCo: Image Synthesis of Novel Instrument States Based on Dynamic and Deformable 3D Gaussian Reconstruction
[IEEE] 2025-12-30 | Remotely Sensed Flood Depth by Emulating Flood Recession Algorithm from Imperfect Extent and Topography
[IEEE] 2025-12-30 | Program Committee
[IEEE] 2025-12-30 | ISPCE-ASIA 2025 Author Index
[IEEE] 2025-12-30 | Common Mode Voltage Elimination and Zero-Sequence Circulating Current Reduction of Parallel Back-to-Back Converters
[IEEE] 2025-12-30 | Negative Photoconductivity Engineering in High-Sn GeSn/InP Heterostructures Enabling Record-Breaking Photoresponse for Short Wave Infrared Detection
[IEEE] 2025-12-30 | ICOSST 2025 Copyright Page
[IEEE] 2025-12-30 | The Tenth International Conference on Informatics and Computing (ICIC)
[IEEE] 2025-12-30 | Mapping and Revealing the River Ice Distribution and Changes in the Three Rivers Source Region From 1990 to 2023 Using Google Earth Engine
[ACM] 2025-12-31 | A Comprehensive Approach for Mitigating Intradialytic Hypotension: Leveraging Enhanced Venous Return and Guided Respiratory Modulation in Patients with End-Stage Renal Disease
[IEEE] 2025-12-30 | AI-Powered Sustainable Wastewater Recycling Systems for Smart Cities Resource Management
[IEEE] 2025-12-30 | SAT-Based Approaches for Two-Dimensional Bin Packing: A Comprehensive Comparison with MIP and CP Methods
[IEEE] 2025-12-30 | Hybrid Bat Firefly Optimization for Real-Time Energy Aware Multi Objective Routing
[IEEE] 2025-12-30 | Analyzing Tourist Perceptions of Bali's Tourism Villages: A Google Review Study Using Lexicon-SVM Approaches
[IEEE] 2025-12-30 | Implementation of YOLOv11 for Automatic Offside Detection in Football
[IEEE] 2025-12-30 | Advanced Deep Reinforcement Learning for Heat Pump Control in Residential Buildings
[IEEE] 2025-12-30 | MVDC and MVAC Comparison for Stability and Frequency Support in Expanding Distribution Grids with Intermittent Resources
[IEEE] 2025-12-30 | Evaluating the Impact of Modeling Parameters on BEMT Simulations
[IEEE] 2025-12-30 | Miniaturized Dual-Beam SERF Magnetometer Using Natural Abundance Rubidium
[IEEE] 2025-12-30 | On the Damping Redistribution Mechanism of Angle-Voltage Coupling Dynamics in Power Systems with Hybrid GFM-GFL Devices
[IEEE] 2025-12-30 | Research on Intelligent Monitoring Data System of Power System Grounding Using High Conductivity Fiber Materials
[IEEE] 2025-12-30 | Multi-Stage Scenario Reduction for Optimal Energy Storage Operation in Real-Time Markets
[IEEE] 2025-12-30 | A Hybrid Deep Learning Model for Parkinson’s Stage using Voice and Hand Drawn Image Analysis
[IEEE] 2025-12-30 | The X-ray CT observation of the liberation mechanism of concrete sample under the influence of high voltage pulse
[IEEE] 2025-12-30 | Incentive-based Coordinated Charging Framework for EVs in Distribution Network with User Preferences
[IEEE] 2025-12-30 | ResNet-Based Visual Feature Analysis and System Design for Rural Imagery
[IEEE] 2025-12-30 | CAAF-ResUnet: Dynamic Fusion of Attention Mechanisms for Context-Aware Lung CT Scan Segmentation
[IEEE] 2025-12-30 | Hierarchical Grid-Robust Discretization of the Electric-Field Integral Equation by the Method of Moments
[IEEE] 2025-12-30 | Space-Time Modulated Metasurface-Based EM Tags for Coding Capacity Enhancement
[IEEE] 2025-12-30 | Secure Government Health Data Management Through Blockchain and DBMS Integration
[IEEE] 2025-12-30 | Research on Voltage Stability of Distribution Network Based on Forward-Backward Sweep Power Flow Calculation
[IEEE] 2025-12-30 | Experimental Assessment of the Performance of an Electron Cyclotron Resonance Acceleration (ECRA) Thruster Operated with Iodine
[IEEE] 2025-12-30 | HaLow Simulator for Dense Wireless Networks
[IEEE] 2025-12-30 | EmbedRank-LM: Natural Language-Driven Web Element Identification for Automated UI Testing
[IEEE] 2025-12-30 | Multi-Scene Layered Container Pre-Migration Method for Satellite Task Continuity
[IEEE] 2025-12-30 | Illumination-Adaptive ORB Framework with Hybrid Threshold Fusion for Robust River Surface Flow Measurement
[IEEE] 2025-12-30 | A Directional Scale-based Cosine Similarity Indicator for Adaptive Particle Swarm Optimization
[IEEE] 2025-12-30 | A Hybrid Acoustic-Optical Communication Technique for Ultra-Low Latency Underwater IoT Network
[IEEE] 2025-12-30 | Research Progress of Precision Current Measurement Based on Quantum Sensing
[IEEE] 2025-12-30 | Lightweight Architectures for Binary Segmentation of Fresh Mud Deposits in UAV Imagery
[IEEE] 2025-12-30 | Forecasting the Future: Exploring the Effectiveness of SARIMA and LSTM Models for Vegetable Price Prediction in Karachi, Pakistan
[IEEE] 2025-12-30 | Research on a Filter Defect Detection System Based on Jetson Nano and YOLOv13
[IEEE] 2025-12-30 | Scaling Up the Sustainability of Photonic Tensor Cores With Device-Circuit-Signaling Co-Design
[IEEE] 2025-12-30 | Implementation of the T5-small Model for Abstractive Text Summarization in SEO Meta Description Generation
[IEEE] 2025-12-30 | Estimating Electric Fields from $\mathrm{B}_{1}$ Maps in Circular and Elliptic Cylinders with Deep Learning
[IEEE] 2025-12-30 | AI-Driven Integrated Logistics Framework for Antimalarial Drug Distribution in Remote Areas
[IEEE] 2025-12-30 | Fuzzy Logic for Evaluating the Acquisition of Soft Skills Through Adaptive Scenarios in Game-Based Learning: The Case of EPATHLO
[IEEE] 2025-12-30 | Comparative Analysis of Static and Dynamic Cascading Simulators as Data Sources for Machine Learning Model Training
[IEEE] 2025-12-30 | $\mu\text{STT}$: Microarchitecture Design for Speculative Taint Tracking
[IEEE] 2025-12-30 | PriME: PIM-Aware Efficient Compression for Memory-Bound Embedding Layers in sLLMs
[IEEE] 2025-12-30 | Security Evaluation of Quantum Circuit Split Compilation Under an Oracle-Guided Attack
[IEEE] 2025-12-30 | A UAV-Based Far-Field Measurement System for HF Antennas
[IEEE] 2025-12-30 | Fusion-based Multimodal Deep Learning for E-commerce Product Attribute Classification
[IEEE] 2025-12-30 | Approximate Model Predictive Control for Heating of Arbitrary Buildings Without Thermal Modeling
[IEEE] 2025-12-30 | Simple Method for Complementing Frequency Response of Hydropower Plants with Energy Storage
[IEEE] 2025-12-30 | Optimization and Development of a Ventilation System for Public Toilets based on Toxic Gas Level
[IEEE] 2025-12-30 | Data-Driven Destination Intelligence: From Tourist Reviews to Personalized Recommendations with BERT-CNN Sentiment Analysis for Smart Tourism
[IEEE] 2025-12-30 | MSOD - A Small Obstacle Detection Network for Open-Pit Mining Areas
[IEEE] 2025-12-30 | Development of a Measurement System and Methodology for Determining Dead Layer Thickness in HPGe Crystals
[IEEE] 2025-12-30 | HAPS for Mitigating RAN Traffic Peaks amid Rising Demand and B5G Evolution
[IEEE] 2025-12-30 | CABENCH: Benchmarking Composable Ai for Solving Complex Tasks through Composing Ready-to-Use Models
[IEEE] 2025-12-30 | Minimizing Read Disturb via Localized Page Allocation for Modern NAND Flash-Based SSDs
[IEEE] 2025-12-30 | Navigating Diversity in Group Tourism for Itinerary Planning with GNNs: An Indian Contextual Approach
[IEEE] 2025-12-30 | Gateway-Side Distributed Frame Deduplication for LoRaWAN
[IEEE] 2025-12-30 | Research on the Construction of Coupling Algorithm Based on Improved Particle Swarm Algorithm for Optimizing BP Neural Networks
[IEEE] 2025-12-30 | Real-Time False Data Injection Attack Detection Using Adaptive Random Forest and Sliding Window CUSUM
[IEEE] 2025-12-30 | A Note on Different Source Models for Dipole Antennas in Ghz Frequency Range
[IEEE] 2025-12-30 | Power-Dependent Efficiency Model of EV Chargers for Distribution Grid Simulations
[IEEE] 2025-12-30 | Real-Time ECG Analytics and Arrhythmia Detection
[IEEE] 2025-12-30 | Optimized GhostNet–ViT and Attention U-Net Pipeline for Accurate Prediction for Medical Diagnosis
[IEEE] 2025-12-30 | Advancing AI Healthcare: RNN for Global Mpox Spread Prediction
[IEEE] 2025-12-30 | Multi-Hop Load Balancing with Deep Q-Learning for Scalable WSN Deployment
[IEEE] 2025-12-30 | Att-BKA: A Self-Attention-Guided Black-winged Kite Algorithm for Complex Optimization Problems
[IEEE] 2025-12-30 | STOT-USleepNet: A Study of Sleep Stage Classification Based on EEG Signals
[IEEE] 2025-12-30 | High-Jitter Signal Reconstruction via Cubic Spline Interpolation Integrated with Empirical Mode Decomposition
[IEEE] 2025-12-30 | Design of LCR Measurement module based on Excitation Tuning and Time Interval Detection
[IEEE] 2025-12-30 | Research on Computer Vision Image Preprocessing and Target Detection Optimization Algorithm Driven by Fully Convolutional Neural Network
[IEEE] 2025-12-30 | Simulation of Vibration Induced by coil in the preliminary research device of Magnetic Confinement Deuterium-Deuterium Fusion Neutron Source
[IEEE] 2025-12-30 | A Target-Oriented 3D Reconstruction with Array-Insar Images
[IEEE] 2025-12-30 | An Enhanced Matrix Completion-Based Interference Mitigation Method for FMCW Radar
[IEEE] 2025-12-30 | AceHomo: Accelerating Privacy Preserving Inference Through Dynamic Level Adjustment
[IEEE] 2025-12-30 | Autonomous Contract Analysis and Clause Risk Detection using Legal-BERT
[IEEE] 2025-12-30 | High Frequency Characterization of Ultra-Thin Transparent Films
[IEEE] 2025-12-30 | Data Driven Approach for Early Risk Assessment of Cardiovascular Disease through Logistic Regression
