[2025-12-03 09:14:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-02
正在获取论文...
[arXiv] 2025-12-02 | On the ellipticity of the higher rank numerical range
[arXiv] 2025-12-02 | Leveraging generative adversarial networks with spatially adaptive denormalization for multivariate stochastic seismic data inversion
[arXiv] 2025-12-02 | PystachIO: Efficient Distributed GPU Query Processing with PyTorch over Fast Networks & Fast Storage
[arXiv] 2025-12-02 | Network Self-Configuration based on Fine-Tuned Small Language Models
[arXiv] 2025-12-02 | The Obukhov--Corrsin spectrum of passive scalar turbulence through anomalous regularization
[arXiv] 2025-12-02 | Adaptive Decentralized Federated Learning for Robust Optimization
[arXiv] 2025-12-02 | Are Detectors Fair to Indian IP-AIGC? A Cross-Generator Study
[arXiv] 2025-12-02 | A Critical Analysis of Affirmative Action and Academic Performance: A Response to the Preprint Authored by Matheus et al. (2025)
[arXiv] 2025-12-02 | Experimental Blueprint for Distinguishing Decoherence from Objective Collapse
[arXiv] 2025-12-02 | ReVSeg: Incentivizing the Reasoning Chain for Video Segmentation with Reinforcement Learning
[arXiv] 2025-12-02 | Learning Science and the Illusion of Understanding: Exploring the Effects of Integrating Learning Tasks after Explainer Videos
[arXiv] 2025-12-02 | BOOM: Beyond Only One Modality KIT's Multimodal Multilingual Lecture Companion
[arXiv] 2025-12-02 | Phononic Casimir Effect in Planar Materials
[arXiv] 2025-12-02 | Phase-Adaptive LLM Framework with Multi-Stage Validation for Construction Robot Task Allocation: A Systematic Benchmark Against Traditional Optimization Algorithms
[arXiv] 2025-12-02 | A New Application of the Gibbons-Werner Method: Bound Orbits of Massive Particles in Stationary Spacetimes
[arXiv] 2025-12-02 | System Identification for Dynamic Modeling of a Bumper Car
[arXiv] 2025-12-02 | Theory of single-photon emission from neutral and charged excitons in a polarization-selective cavity
[arXiv] 2025-12-02 | Martingales, laminates and minimal Korn inequalities
[arXiv] 2025-12-02 | Exploring Definitions of Quality and Diversity in Sonic Measurement Spaces
[arXiv] 2025-12-02 | Realization of polytype heterostructures via delicate structural transitions from a doped-Mott insulator
[arXiv] 2025-12-02 | Towards Unification of Hallucination Detection and Fact Verification for Large Language Models
[arXiv] 2025-12-02 | Diffusion-Prior Split Gibbs Sampling for Synthetic Aperture Radar Imaging under Incomplete Measurements
[arXiv] 2025-12-02 | Structural Properties of Entropic Vectors and Stability of the Ingleton Inequality
[arXiv] 2025-12-02 | SurveyEval: Towards Comprehensive Evaluation of LLM-Generated Academic Surveys
[arXiv] 2025-12-02 | Fault-tolerant quantum computation with constant overhead for general noise
[arXiv] 2025-12-02 | Ultrasensitive Anti-Stokes Luminescence Thermometry in Transition Metal Dichalcogenide Monolayers
[arXiv] 2025-12-02 | "Can you feel the vibes?": An exploration of novice programmer engagement with vibe coding
[arXiv] 2025-12-02 | Reasoning-Aware Multimodal Fusion for Hateful Video Detection
[arXiv] 2025-12-02 | SDSS-V LVM: Resolving Physical Conditions in the Trifid Nebula
[arXiv] 2025-12-02 | Approximation schemes for covering and packing mixed-integer programs with a fixed number of constraints
[arXiv] 2025-12-02 | Laplace Approximation For Tensor Train Kernel Machines In System Identification
[arXiv] 2025-12-02 | Invariance under Structure Translation as the Origin of Host Immune Capacity Conservation from Noether's Theorem
[arXiv] 2025-12-02 | RoboWheel: A Data Engine from Real-World Human Demonstrations for Cross-Embodiment Robotic Learning
[arXiv] 2025-12-02 | GeoViS: Geospatially Rewarded Visual Search for Remote Sensing Visual Grounding
[arXiv] 2025-12-02 | Beyond N-grams: A Hierarchical Reward Learning Framework for Clinically-Aware Medical Report Generation
[arXiv] 2025-12-02 | Detection of Mpemba effect through good observables in open quantum systems
[arXiv] 2025-12-02 | Spectropolarimetric characterisation of exoplanet host stars in preparation of the $Ariel$ mission II. The magnetised wind environment of TOI-1860, DS Tuc A, and HD 63433
[arXiv] 2025-12-02 | Empirical Assessment of the Perception of Software Product Line Engineering by an SME before Migrating its Code Base
[arXiv] 2025-12-02 | FGC-Comp: Adaptive Neighbor-Grouped Attribute Completion for Graph-based Anomaly Detection
[arXiv] 2025-12-02 | Conformal Correction for Efficiency May be at Odds with Entropy
[arXiv] 2025-12-02 | Multi-node quantum key distribution network using existing underground optical fibre infrastructure
[arXiv] 2025-12-02 | Learning What to Attend First: Modality-Importance-Guided Reasoning for Reliable Multimodal Emotion Understanding
[arXiv] 2025-12-02 | An Empirical Survey of Model Merging Algorithms for Social Bias Mitigation
[arXiv] 2025-12-02 | Real-time imaging of slow noisy quasiparticle dynamics at a non-trivial metastable defect in an electronic crystal
[arXiv] 2025-12-02 | Unsupervised Structural Scene Decomposition via Foreground-Aware Slot Attention with Pseudo-Mask Guidance
[arXiv] 2025-12-02 | PGP-DiffSR: Phase-Guided Progressive Pruning for Efficient Diffusion-based Image Super-Resolution
[arXiv] 2025-12-02 | Exploring the Impacts of Economic Growth on Ecosystem and Its Subcomponents in Türkiye
[arXiv] 2025-12-02 | Chen Ning Yang Retrospective
[arXiv] 2025-12-02 | Models of holomorphic functions on the symmetrized skew bidisc
[arXiv] 2025-12-02 | Worst-case mixing estimates for Brownian motion with semipermeable barriers
[arXiv] 2025-12-02 | Pianist Transformer: Towards Expressive Piano Performance Rendering via Scalable Self-Supervised Pre-Training
[arXiv] 2025-12-02 | PoreTrack3D: A Benchmark for Dynamic 3D Gaussian Splatting in Pore-Scale Facial Trajectory Tracking
[arXiv] 2025-12-02 | Offloading Artificial Intelligence Workloads across the Computing Continuum by means of Active Storage Systems
[arXiv] 2025-12-02 | The role of the galaxy stellar mass function in determining the cosmological distribution of astrophysical transients with applications to fast radio bursts and merging binary black holes
[arXiv] 2025-12-02 | Hausdorff dimension for the weighted products of multiple digits in d-decaying Gauss like systems
[arXiv] 2025-12-02 | PPTBench: Towards Holistic Evaluation of Large Language Models for PowerPoint Layout and Design Understanding
[arXiv] 2025-12-02 | High-harmonic generation from two weakly coupled molecules: a simple tight-binding model
[arXiv] 2025-12-02 | The role of counting quantifiers in laminar set systems
[arXiv] 2025-12-02 | Precise Twist Angle Determination in twisted WSe2 via Optical Moiré Phonons
[arXiv] 2025-12-02 | Fundamentals of Theory of Continuous Gromov--Hausdorff distance
[arXiv] 2025-12-02 | Target-specific Adaptation and Consistent Degradation Alignment for Cross-Domain Remaining Useful Life Prediction
[arXiv] 2025-12-02 | CZT Detectors for kaonic atoms spectroscopy
[arXiv] 2025-12-02 | Equilibrium SAT based PQC: New aegis against quantum computing
[arXiv] 2025-12-02 | Preservation of notion of large sets near zero over reals
[arXiv] 2025-12-02 | Strengthening and toughening mechanisms in heterostructured laminates revealed by a phase field-enhanced crystal plasticity simulation
[arXiv] 2025-12-02 | Framework for Electrochemical & Electrical Energy Storage Materials Database
[arXiv] 2025-12-02 | Reduced-order Smith predictor for state feedback control with guaranteed stability
[arXiv] 2025-12-02 | Modeling Particle Acceleration and MWL Emission of a PeVatron Microquasar V4641 Sgr
[arXiv] 2025-12-02 | Feedback Loops and Code Perturbations in LLM-based Software Engineering: A Case Study on a C-to-Rust Translation System
[arXiv] 2025-12-02 | ADORE: Autonomous Domain-Oriented Relevance Engine for E-commerce
[arXiv] 2025-12-02 | Robotic capabilities framework: A boundary object and intermediate-level knowledge artifact for co-designing robotic processes
[arXiv] 2025-12-02 | WeMMU: Enhanced Bridging of Vision-Language Models and Diffusion Models via Noisy Query Tokens
[arXiv] 2025-12-02 | AID: Agent Intent from Diffusion for Multi-Agent Informative Path Planning
[arXiv] 2025-12-02 | Full-counting statistics and quantum information of dispersive readout with a squeezed environment
[arXiv] 2025-12-02 | Electromagnetic polarization matrix and its physical interpretation
[arXiv] 2025-12-02 | A Concise Review of Hallucinations in LLMs and their Mitigation
[arXiv] 2025-12-02 | Generative Multi-modal Feedback for Singing Voice Synthesis Evaluation
[arXiv] 2025-12-02 | Detection of photon-level signals embedded in sunlight with an atomic photodetector
[arXiv] 2025-12-02 | Low-temperature thermal conductivity of the substrate material YAlO3 and its unconventional sister compound YbAlO3
[arXiv] 2025-12-02 | Time-delayed feedback control for random dynamical systems
[arXiv] 2025-12-02 | COPE: Chain-Of-Thought Prediction Engine for Open-Source Large Language Model Based Stroke Outcome Prediction from Clinical Notes
[arXiv] 2025-12-02 | Superchannel without Tears: A Generalized Occam's Razor for Quantum Processes
[arXiv] 2025-12-02 | Learning interpretable surface elasticity properties from bulk properties
[arXiv] 2025-12-02 | Dualities and trialities in $\mathcal{N}=2$ supersymmetric gauged quantum mechanics
[arXiv] 2025-12-02 | ProteinPNet: Prototypical Part Networks for Concept Learning in Spatial Proteomics
[arXiv] 2025-12-02 | Stochastic parallel transport on the Wasserstein space and equivariant diffusions on the group of diffeomorphisms over a closed Riemannian manifold
[arXiv] 2025-12-02 | Identification of Multivariate Measurement Error Models
[arXiv] 2025-12-02 | Flexible Gravitational-Wave Parameter Estimation with Transformers
[arXiv] 2025-12-02 | Reflective Metalenses for Near-Infrared Wavelengths Based on Silicon Nanorods
[arXiv] 2025-12-02 | Generalized Zykov's Theorem
[arXiv] 2025-12-02 | Systematic construction of ROCN Bell-inequalities
[arXiv] 2025-12-02 | Quantum hypergraph states: a concise review
[arXiv] 2025-12-02 | Zero modes and geometric phase for 2D Weyl fermions on Lifshitz backgrounds
[arXiv] 2025-12-02 | Universality Diagram of Phase Transitions in Long-range Statistical Systems
[arXiv] 2025-12-02 | Representation of Inorganic Synthesis Reactions and Prediction: Graphical Framework and Datasets
[arXiv] 2025-12-02 | Benchmarking Scientific Understanding and Reasoning for Video Generation using VideoScience-Bench
[arXiv] 2025-12-02 | Pseudocodewords of quantum, quasi-cyclic, and spatially-coupled LDPC codes: a fundamental cone perspective
[arXiv] 2025-12-02 | Scalable Quantum Walk-Based Heuristics for the Minimum Vertex Cover Problem
[arXiv] 2025-12-02 | How Quorum Sensing Shapes Clustering in Active Matter
[arXiv] 2025-12-02 | BD-Index: Scalable Biharmonic Distance Queries on Large Graphs via Divide-and-Conquer Indexing
[arXiv] 2025-12-02 | Martingale Score: An Unsupervised Metric for Bayesian Rationality in LLM Reasoning
[arXiv] 2025-12-02 | MRD: Multi-resolution Retrieval-Detection Fusion for High-Resolution Image Understanding
[arXiv] 2025-12-02 | VLA Models Are More Generalizable Than You Think: Revisiting Physical and Spatial Modeling
[arXiv] 2025-12-02 | Ridged geometries induce axial flow vortices in Couette systems
[arXiv] 2025-12-02 | Terahertz Emission from Spintronic Stack Nanodecorated with Drop-Cast Core-Shell Plasmonic Nanoparticles
[arXiv] 2025-12-02 | Log syntomic cohomology of truncated polynomials and coordinate axes
[arXiv] 2025-12-02 | Exciton spin structure in lead halide perovskite semiconductors explored via the spin dynamics in magnetic field
[arXiv] 2025-12-02 | Convergence to stationary points in the Weisbuch-Kirman-Herreiner model for buyers' preferences in fish markets
[arXiv] 2025-12-02 | OptPO: Optimal Rollout Allocation for Test-time Policy Optimization
[arXiv] 2025-12-02 | AC/DC Frequency-Dependent Power Flow Jacobian: Quantifying Grid Support and Stability Implications
[arXiv] 2025-12-02 | Assessing the performance of correlation-based multi-fidelity neural emulators
[arXiv] 2025-12-02 | RFOP: Rethinking Fusion and Orthogonal Projection for Face-Voice Association
[arXiv] 2025-12-02 | PAC-Bayesian Optimal Control with Stability and Generalization Guarantees
[arXiv] 2025-12-02 | On Constraining the Proposed Hierarchical Triple Scenario for an Eccentric Milli-Second Pulsar Binary PSR J1618-3921
[arXiv] 2025-12-02 | Loewner--Kufarev entropy and large deviations of the Hastings--Levitov model
[arXiv] 2025-12-02 | Humans incorrectly reject confident accusatory AI judgments
[arXiv] 2025-12-02 | VLM as Strategist: Adaptive Generation of Safety-critical Testing Scenarios via Guided Diffusion
[arXiv] 2025-12-02 | Revisiting Theory of Contrastive Learning for Domain Generalization
[arXiv] 2025-12-02 | Tempering the Bayes Filter towards Improved Model-Based Estimation
[arXiv] 2025-12-02 | Quiver down-up algebras
[arXiv] 2025-12-02 | On the growth properties of interior transmission eigenfunctions near corners
[arXiv] 2025-12-02 | A benchmark dataset for evaluating Syndrome Differentiation and Treatment in large language models
[arXiv] 2025-12-02 | Towards Observation Lakehouses: Living, Interactive Archives of Software Behavior
[arXiv] 2025-12-02 | Making Dialogue Grounding Data Rich: A Three-Tier Data Synthesis Framework for Generalized Referring Expression Comprehension
[arXiv] 2025-12-02 | Diagnose, Correct, and Learn from Manipulation Failures via Visual Symbols
[arXiv] 2025-12-02 | Rethinking Surgical Smoke: A Smoke-Type-Aware Laparoscopic Video Desmoking Method and Dataset
[arXiv] 2025-12-02 | CogDrive: Cognition-Driven Multimodal Prediction-Planning Fusion for Safe Autonomy
[arXiv] 2025-12-02 | Position-Sensitive Silicon Photomultiplier Array with Enhanced Position Reconstruction by means of a Deep Neural Network
[arXiv] 2025-12-02 | An efficient fully decoupled finite element method with second-order accuracy for the micropolar Rayleigh-Benard convection system
[arXiv] 2025-12-02 | Effects of disease duration and antipsychotics on brain age in schizophrenia
[arXiv] 2025-12-02 | Towards Language-Independent Face-Voice Association with Multimodal Foundation Models
[arXiv] 2025-12-02 | Reaching Sachdev-Ye-Kitaev physics by shaking the Hubbard model
[arXiv] 2025-12-02 | Implicit score-driven filters for time-varying parameter models
[arXiv] 2025-12-02 | Protein Diffusion and Stokes-Einstein Deviation in Supercooled Cryoprotectant Solutions
[arXiv] 2025-12-02 | Translational symmetry breaking in the electronic nematic phase of BaFe2As2
[arXiv] 2025-12-02 | UCAgents: Unidirectional Convergence for Visual Evidence Anchored Multi-Agent Medical Decision-Making
[arXiv] 2025-12-02 | Identifying preferred routes of sharing information on social networks
[arXiv] 2025-12-02 | TabGRU: An Enhanced Design for Urban Rainfall Intensity Estimation Using Commercial Microwave Links
[arXiv] 2025-12-02 | Bayesian Probability Fusion for Multi-AP Collaborative Sensing in Mobile Networks
[arXiv] 2025-12-02 | Necessary and Sufficient Conditions for PID Design of MIMO Nonlinear Systems
[arXiv] 2025-12-02 | Basis-Oriented Low-rank Transfer for Few-Shot and Test-Time Adaptation
[arXiv] 2025-12-02 | LightHCG: a Lightweight yet powerful HSIC Disentanglement based Causal Glaucoma Detection Model framework
[arXiv] 2025-12-02 | Effective hybrid joint universality for Dirichlet $L$-functions and its application
[arXiv] 2025-12-02 | Generalizing Vision-Language Models with Dedicated Prompt Guidance
[arXiv] 2025-12-02 | Laser-driven electrodynamic implosion of fast ions in a thin shell
[arXiv] 2025-12-02 | Vehicle Dynamics Embedded World Models for Autonomous Driving
[arXiv] 2025-12-02 | New Bounds for Circular Trace Reconstruction
[arXiv] 2025-12-02 | Decentralized Multi-Agent System with Trust-Aware Communication
[arXiv] 2025-12-02 | A unified framework for equation discovery and dynamic prediction of hysteretic systems
[arXiv] 2025-12-02 | Dynamic Configuration of On-Street Parking Spaces using Multi Agent Reinforcement Learning
